iter	Passed	Remaining
0	59	5868
1	60	2957
2	61	1977
3	61	1487
4	62	1192
5	63	996
6	64	860
7	67	778
8	68	692
9	69	623
10	70	567
11	70	520
12	71	481
13	72	447
14	73	418
15	75	393
16	75	370
17	76	349
18	77	330
19	78	313
20	79	297
21	79	283
22	81	271
23	82	260
24	83	249
25	83	238
26	85	230
27	87	224
28	88	216
29	89	208
30	90	200
31	91	193
32	92	186
33	92	180
34	94	174
35	95	169
36	96	165
37	98	159
38	98	154
39	99	149
40	100	144
41	101	140
42	102	136
43	104	133
44	105	128
45	106	124
46	107	120
47	108	117
48	108	113
49	109	109
50	110	106
51	111	102
52	112	99
53	113	96
54	114	93
55	115	90
56	116	87
57	116	84
58	117	81
59	118	79
60	119	76
61	126	77
62	127	75
63	129	72
64	130	70
65	131	67
66	132	65
67	133	62
68	134	60
69	137	58
70	138	56
71	139	54
72	140	51
73	141	49
74	142	47
75	142	45
76	144	43
77	145	41
78	146	38
79	147	36
80	148	34
81	149	32
82	149	30
83	150	28
84	152	26
85	153	24
86	155	23
87	155	21
88	156	19
89	157	17
90	158	15
91	159	13
92	160	12
93	161	10
94	162	8
95	163	6
96	164	5
97	165	3
98	166	1
99	167	0
